provincia,X2020-03-08,X2020-03-09,X2020-03-10,X2020-03-11,X2020-03-12,X2020-03-13,X2020-03-14,X2020-03-15,X2020-03-16,X2020-03-17,X2020-03-18,X2020-03-19,X2020-03-20,X2020-03-21,X2020-03-22,X2020-03-23,X2020-03-24,X2020-03-25,X2020-03-26,X2020-03-27,X2020-03-28,X2020-03-29,X2020-03-30,X2020-03-31,X2020-04-01,X2020-04-02,X2020-04-03,X2020-04-04,X2020-04-05,X2020-04-06,X2020-04-07,X2020-04-08,X2020-04-09,X2020-04-10,X2020-04-11,X2020-04-12,X2020-04-13,X2020-04-14,X2020-04-15,X2020-04-16,X2020-04-17,X2020-04-18,X2020-04-19,X2020-04-20,X2020-04-21,X2020-04-22,X2020-04-23,X2020-04-24,X2020-04-25,X2020-04-26,X2020-04-27,X2020-04-28,X2020-04-29,X2020-04-30,X2020-05-01,X2020-05-02,X2020-05-03,X2020-05-04,X2020-05-05,X2020-05-06,X2020-05-07,X2020-05-08,X2020-05-09,X2020-05-10,X2020-05-11,X2020-05-12,X2020-05-13,X2020-05-14,X2020-05-15,X2020-05-16,X2020-05-17,X2020-05-18,X2020-05-19,X2020-05-20,X2020-05-21,X2020-05-22,X2020-05-23,X2020-05-24,X2020-05-25,X2020-05-26,X2020-05-27,X2020-05-28,X2020-05-29,X2020-05-30,X2020-05-31,X2020-06-01,X2020-06-02,X2020-06-03,X2020-06-04,X2020-06-05,X2020-06-06,X2020-06-07,X2020-06-08,X2020-06-09,X2020-06-10,X2020-06-11,X2020-06-12,X2020-06-13,X2020-06-14,X2020-06-15,X2020-06-16,X2020-06-17,X2020-06-18,X2020-06-19,X2020-06-20,X2020-06-21,X2020-06-22,X2020-06-23,X2020-06-24,X2020-06-25,X2020-06-26,X2020-06-27,X2020-06-28,X2020-06-29,X2020-06-30,X2020-07-01,X2020-07-02,X2020-07-03,X2020-07-04
Buenos Aires,3,3,4,5,5,6,6,7,8,10,16,31,40,55,63,68,98,128,155,191,199,215,251,268,278,314,336,362,395,407,441,458,486,505,542,570,599,665,727,757,791,822,870,912,972,1033,1117,1178,1272,1328,1378,1426,1529,1595,1629,1674,1712,1750,1808,1871,1921,1998,2058,2109,2153,2233,2329,2408,2494,2591,2665,2758,2915,3072,3285,3551,3840,4036,4195,4431,4746,5045,5318,5614,5868,6120,6608,7050,7472,7843,8300,8675,9019,9564,10185,10941,11685,12534,13169,13804,14601,15400,16506,17624,18637,19383,20420,21754,23217,24699,26391,27814,29039,30318,31692,33363,35096,36945,38462
CABA,0,0,1,2,2,4,4,10,15,19,29,37,46,75,87,98,128,149,179,222,240,253,287,306,306,330,358,392,424,441,465,483,506,517,563,571,581,603,633,648,662,676,691,713,746,785,822,901,956,992,1024,1074,1108,1153,1182,1240,1289,1332,1389,1491,1568,1698,1781,1946,2083,2271,2449,2602,2816,3009,3156,3325,3549,3773,4152,4556,4956,5450,5825,6152,6513,6938,7337,7796,8154,8428,8799,9266,9702,10122,10596,10955,11375,11910,12431,12969,13534,14092,14650,15208,15696,16218,16910,17714,18226,18933,19957,20716,21728,22670,23637,24486,25338,26282,27026,27867,28707,29542,30441
Catamarca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
Chaco,0,0,0,0,0,0,0,2,5,6,7,9,10,15,22,26,35,47,50,53,58,62,74,77,89,92,100,108,108,112,116,131,137,142,142,143,146,177,184,195,217,241,246,251,256,263,273,280,287,290,300,300,304,307,319,330,335,340,351,359,385,411,420,452,469,479,497,506,531,552,571,584,618,652,686,713,720,740,749,772,788,816,842,866,879,882,912,918,971,1000,1019,1037,1082,1110,1155,1203,1242,1291,1318,1345,1368,1388,1456,1487,1511,1563,1583,1638,1675,1736,1812,1864,1911,1942,2012,2072,2153,2190,2243
Chubut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,8,8,10,10,10,10,11,11,14,15,20,21,26,26,26,30,39,41,43,44,52,62,65,68,74,79,81,83,84,94,94,99,100,108,116,116,128,128
Cordoba,0,0,0,0,0,0,0,0,0,2,3,6,11,15,23,26,33,48,51,56,57,75,83,97,103,119,133,136,141,148,152,153,158,171,203,208,212,224,230,243,249,251,262,262,262,266,268,271,272,275,275,277,278,280,293,305,306,312,313,318,322,324,330,335,349,352,363,368,371,380,400,420,429,438,450,459,459,465,467,467,467,467,467,467,469,469,470,471,473,475,475,475,476,478,483,486,495,501,507,513,514,520,529,548,568,581,592,615,617,623,631,646,651,653,664,675,683,691,704
Corrientes,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,5,9,10,20,20,21,22,22,22,22,24,24,24,24,24,24,24,31,31,31,31,31,31,31,34,34,34,35,39,40,46,46,47,47,48,49,49,49,49,49,52,53,54,55,55,71,72,77,79,79,79,79,79,79,79,79,79,79,79,79,79,81,82,88,88,89,95,97,97,97,97,97,97,97,98,98,101,101,102,104,106,107,109,110,115,117,117,118,118,118,118,118,119,119,121,121,122,122,122,122
Entre Rios,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,6,6,9,9,9,12,12,13,15,17,17,18,18,19,19,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,24,24,26,26,27,27,27,27,27,27,27,27,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,31,31,31,33,35,35,39,49,51,53,55,59,65,69,71,86,101,113,118,124,128,147,157,173,190,214,231,250,262,286,291,297,306,320,331,336
Formosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,33,39,39,39,43,43,45,45,45,51,51,51,76,77,77,77,77,81,82,82,82
Jujuy,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,9,12,13,13,13,15,17,43,44,71,74,74,90,96,113,127,147,161
