fecha,provincia,confirmados
06-07-2020,Buenos Aires,1476
06-07-2020,CABA,995
06-07-2020,Catamarca,1
06-07-2020,Chaco,26
06-07-2020,Chubut,6
06-07-2020,Córdoba,28
06-07-2020,Corrientes,1
06-07-2020,Entre Rios,5
06-07-2020,Formosa,0
06-07-2020,Jujuy,29
06-07-2020,La Pampa,0
06-07-2020,La Rioja,5
06-07-2020,Mendoza,4
06-07-2020,Misiones,2
06-07-2020,Neuquen,34
06-07-2020,Rio Negro,7
06-07-2020,Salta,2
06-07-2020,San Juan,1
06-07-2020,San Luis,0
06-07-2020,Santa Cruz,4
06-07-2020,Santa Fe,5
06-07-2020,Santiago del Estero,1
06-07-2020,Tierra del Fuego,0
05-07-2020,Buenos Aires,1517
05-07-2020,CABA,899
05-07-2020,Catamarca,5
05-07-2020,Chaco,53
05-07-2020,Chubut,0
05-07-2020,Cordoba,13
05-07-2020,Corrientes,0
05-07-2020,Entre Ríos,5
05-07-2020,Formosa,0
05-07-2020,Jujuy,14
05-07-2020,La Pampa,0
05-07-2020,La Rioja,5
05-07-2020,Mendoza,4
05-07-2020,Misiones,0
05-07-2020,Neuquen,20
05-07-2020,Rio Negro,28
05-07-2020,Salta,16
05-07-2020,San Juan,0
05-07-2020,San Luis,1
05-07-2020,Santa Cruz,0
05-07-2020,Santa Fe,5
05-07-2020,Santiago del Estero,0
05-07-2020,Tierra del Fuego,4
05-07-2020,Tucuman,1
04-07-2020,Buenos Aires,1517 
04-07-2020,CABA,899 
04-07-2020,Catamarca,5 
04-07-2020,Chaco,53 
04-07-2020,Chubut,0 
04-07-2020,Cordoba,13 
04-07-2020,Corrientes,0 
04-07-2020,Entre Rios,5 
04-07-2020,Formosa,0 
04-07-2020,Jujuy,14 
04-07-2020,La Pampa,0 
04-07-2020,La Rioja,5 
04-07-2020,Mendoza,4 
04-07-2020,Misiones,0 
04-07-2020,Neuquen,20 
04-07-2020,Rio Negro,28 
04-07-2020,Salta,16 
04-07-2020,San Juan,0 
04-07-2020,San Luis,1 
04-07-2020,Santa Cruz,0 
04-07-2020,Santa Fe,5 
04-07-2020,Santiago del Estero,0 
04-07-2020,Tierra del Fuego,4 
04-07-2020,Tucuman,1 
03-07-2020,Buenos Aires,1849 
03-07-2020,CABA,835 
03-07-2020,Catamarca,1 
03-07-2020,Chaco,37 
03-07-2020,Chubut,12 
03-07-2020,Cordoba,8 
03-07-2020,Corrientes,0 
03-07-2020,Entre Rios,11 
03-07-2020,Formosa,0 
03-07-2020,Jujuy,20 
03-07-2020,La Pampa,0 
03-07-2020,La Rioja,3 
03-07-2020,Mendoza,3 
03-07-2020,Misiones,0 
03-07-2020,Neuquen,28 
03-07-2020,Rio Negro,23 
03-07-2020,Salta,8 
03-07-2020,San Juan,0 
03-07-2020,San Luis,0 
03-07-2020,Santa Cruz,0 
03-07-2020,Santa Fe,5 
03-07-2020,Santiago del Estero,0 
03-07-2020,Tierra del Fuego,0 
03-07-2020,Tucuman,2 
02-07-2020,Buenos Aires,1733 
02-07-2020,CABA,840 
02-07-2020,Catamarca,0 
02-07-2020,Chaco,81 
02-07-2020,Chubut,0 
02-07-2020,Cordoba,8 
02-07-2020,Corrientes,0 
02-07-2020,Entre Rios,14 
02-07-2020,Formosa,1 
02-07-2020,Jujuy,14 
02-07-2020,La Pampa,0 
02-07-2020,La Rioja,3 
02-07-2020,Mendoza,2 
02-07-2020,Misiones,0 
02-07-2020,Neuquen,12 
02-07-2020,Rio Negro,34 
02-07-2020,Salta,0 
02-07-2020,San Juan,0 
02-07-2020,San Luis,0 
02-07-2020,Santa Cruz,0 
02-07-2020,Santa Fe,2 
02-07-2020,Santiago del Estero,0 
02-07-2020,Tierra del Fuego,0 
02-07-2020,Tucuman,0 
01-07-2020,Buenos Aires,1671 
01-07-2020,CABA,841 
01-07-2020,Catamarca,0 
01-07-2020,Chaco,60 
01-07-2020,Chubut,8 
01-07-2020,Cordoba,11 
01-07-2020,Corrientes,1 
01-07-2020,Entre Rios,9 
01-07-2020,Formosa,4 
01-07-2020,Jujuy,17 
01-07-2020,La Pampa,0 
01-07-2020,La Rioja,1 
01-07-2020,Mendoza,7 
01-07-2020,Misiones,0 
01-07-2020,Neuquen,12 
01-07-2020,Rio Negro,13 
01-07-2020,Salta,2 
01-07-2020,San Juan,0 
01-07-2020,San Luis,0 
01-07-2020,Santa Cruz,0 
01-07-2020,Santa Fe,1 
01-07-2020,Santiago del Estero,1 
01-07-2020,Tierra del Fuego,0 
01-07-2020,Tucuman,8 
30-06-2020,Buenos Aires,1374 
30-06-2020,CABA,744 
30-06-2020,Catamarca,0 
30-06-2020,Chaco,70 
30-06-2020,Chubut,8 
30-06-2020,Cordoba,11 
30-06-2020,Corrientes,0 
30-06-2020,Entre Rios,6 
30-06-2020,Formosa,0 
30-06-2020,Jujuy,6 
30-06-2020,La Pampa,0 
30-06-2020,La Rioja,4 
30-06-2020,Mendoza,4 
30-06-2020,Misiones,0 
30-06-2020,Neuquen,18 
30-06-2020,Rio Negro,15 
30-06-2020,Salta,1 
30-06-2020,San Juan,0 
30-06-2020,San Luis,0 
30-06-2020,Santa Cruz,0 
30-06-2020,Santa Fe,1 
30-06-2020,Santiago del Estero,0 
30-06-2020,Tierra del Fuego,0
30-06-2020,Tucuman,0 
29-06-2020,Buenos Aires,1279 
29-06-2020,CABA,944 
29-06-2020,Catamarca,0 
29-06-2020,Chaco,31 
29-06-2020,Chubut,1 
29-06-2020,Cordoba,2 
29-06-2020,Corrientes,2 
29-06-2020,Entre Rios,5 
29-06-2020,Formosa,0 
29-06-2020,Jujuy,16 
29-06-2020,La Pampa,0 
29-06-2020,La Rioja,4 
29-06-2020,Mendoza,1 
29-06-2020,Misiones,1 
29-06-2020,Neuquen,18 
29-06-2020,Rio Negro,24 
29-06-2020,Salta,3 
29-06-2020,San Juan,0 
29-06-2020,San Luis,0 
29-06-2020,Santa Cruz,0 
29-06-2020,Santa Fe,3 
29-06-2020,Santiago del Estero,1 
29-06-2020,Tierra del Fuego,0 
29-06-2020,Tucuman,0 
28-06-2020,Buenos Aires,1225 
28-06-2020,CABA,852 
28-06-2020,Catamarca,0 
28-06-2020,Chaco,47 
28-06-2020,Chubut,5 
28-06-2020,Cordoba,5 
28-06-2020,Corrientes,0 
28-06-2020,Entre Rios,24 
28-06-2020,Formosa,0 
28-06-2020,Jujuy,0 
28-06-2020,La Pampa,0 
28-06-2020,La Rioja,0 
28-06-2020,Mendoza,6 
28-06-2020,Misiones,0 
28-06-2020,Neuquen,12 
28-06-2020,Rio Negro,6 
28-06-2020,Salta,0 
28-06-2020,San Juan,0 
28-06-2020,San Luis,0 
28-06-2020,Santa Cruz,0 
28-06-2020,Santa Fe,6 
28-06-2020,Santiago del Estero,1 
28-06-2020,Tierra del Fuego,0 
28-06-2020,Tucuman,0 
27-06-2020,Buenos Aires,1423 
27-06-2020,CABA,849 
27-06-2020,Catamarca,0 
27-06-2020,Chaco,52 
27-06-2020,Chubut,0 
27-06-2020,Cordoba,15 
27-06-2020,Corrientes,1 
27-06-2020,Entre Rios,12 
27-06-2020,Formosa,1 
27-06-2020,Jujuy,3 
27-06-2020,La Pampa,0 
27-06-2020,La Rioja,1 
27-06-2020,Mendoza,6 
27-06-2020,Misiones,0 
27-06-2020,Neuquen,16 
27-06-2020,Rio Negro,14 
27-06-2020,Salta,2 
27-06-2020,San Juan,0 
27-06-2020,San Luis,0 
27-06-2020,Santa Cruz,0 
27-06-2020,Santa Fe,5 
27-06-2020,Santiago del Estero,0 
27-06-2020,Tierra del Fuego,0 
27-06-2020,Tucuman,1 
26-06-2020,Buenos Aires,1692 
26-06-2020,CABA,967 
26-06-2020,Catamarca,0 
26-06-2020,Chaco,76 
26-06-2020,Chubut,10 
26-06-2020,Cordoba,8 
26-06-2020,Corrientes,0 
26-06-2020,Entre Rios,19 
26-06-2020,Formosa,25 
26-06-2020,Jujuy,27 
26-06-2020,La Pampa,0 
26-06-2020,La Rioja,1 
26-06-2020,Mendoza,3 
26-06-2020,Misiones,1 
26-06-2020,Neuquen,31 
26-06-2020,Rio Negro,13 
26-06-2020,Salta,0 
26-06-2020,San Juan,0 
26-06-2020,San Luis,0 
26-06-2020,Santa Cruz,0 
26-06-2020,Santa Fe,12 
26-06-2020,Santiago del Estero,0 
26-06-2020,Tierra del Fuego,0 
26-06-2020,Tucuman,1 
25-06-2020,Buenos Aires,1482 
25-06-2020,CABA,942 
25-06-2020,Catamarca,0 
25-06-2020,Chaco,61 
25-06-2020,Chubut,1 
25-06-2020,Cordoba,6 
25-06-2020,Corrientes,0 
25-06-2020,Entre Rios,17 
25-06-2020,Formosa,0 
25-06-2020,Jujuy,1 
25-06-2020,La Pampa,0 
25-06-2020,La Rioja,2 
25-06-2020,Mendoza,1 
25-06-2020,Misiones,1 
25-06-2020,Neuquen,20 
25-06-2020,Rio Negro,50 
25-06-2020,Salta,0 
25-06-2020,San Juan,0 
25-06-2020,San Luis,0 
25-06-2020,Santa Cruz,0 
25-06-2020,Santa Fe,21 
25-06-2020,Santiago del Estero,0 
25-06-2020,Tierra del Fuego,0 
25-06-2020,Tucuman,1 
24-06-2020,Buenos Aires,1463 
24-06-2020,CABA,1012 
24-06-2020,Catamarca,0 
24-06-2020,Chaco,37 
24-06-2020,Chubut,2 
24-06-2020,Cordoba,2 
24-06-2020,Corrientes,0 
24-06-2020,Entre Rios,24 
24-06-2020,Formosa,0 
24-06-2020,Jujuy,26 
24-06-2020,La Pampa,1 
24-06-2020,La Rioja,7 
24-06-2020,Mendoza,8 
24-06-2020,Misiones,0 
24-06-2020,Neuquen,12 
24-06-2020,Rio Negro,24 
24-06-2020,Salta,3 
24-06-2020,San Juan,0 
24-06-2020,San Luis,0 
24-06-2020,Santa Cruz,0 
24-06-2020,Santa Fe,4 
24-06-2020,Santiago del Estero,0 
24-06-2020,Tierra del Fuego,0 
24-06-2020,Tucuman,10 
23-06-2020,Buenos Aires,1334 
23-06-2020,CABA,759 
23-06-2020,Catamarca,0 
23-06-2020,Chaco,55 
23-06-2020,Chubut,2 
23-06-2020,Cordoba,23 
23-06-2020,Corrientes,0 
23-06-2020,Entre Rios,17 
23-06-2020,Formosa,6 
23-06-2020,Jujuy,2 
23-06-2020,La Pampa,0 
23-06-2020,La Rioja,1 
23-06-2020,Mendoza,8 
23-06-2020,Misiones,0 
23-06-2020,Neuquen,29 
23-06-2020,Rio Negro,19 
23-06-2020,Salta,0 
23-06-2020,San Juan,0 
23-06-2020,San Luis,0 
23-06-2020,Santa Cruz,1 
23-06-2020,Santa Fe,29 
23-06-2020,Santiago del Estero,0 
23-06-2020,Tierra del Fuego,0 
23-06-2020,Tucuman,0 
22-06-2020,Buenos Aires,1037 
22-06-2020,CABA,1024 
22-06-2020,Catamarca,0 
22-06-2020,Chaco,20 
22-06-2020,Chubut,5 
22-06-2020,Cordoba,11 
22-06-2020,Corrientes,1 
22-06-2020,Entre Rios,16 
22-06-2020,Formosa,0 
22-06-2020,Jujuy,2 
22-06-2020,La Pampa,0 
22-06-2020,La Rioja,0 
22-06-2020,Mendoza,3 
22-06-2020,Misiones,0 
22-06-2020,Neuquen,11 
22-06-2020,Rio Negro,8 
22-06-2020,Salta,1 
22-06-2020,San Juan,1 
22-06-2020,San Luis,0 
22-06-2020,Santa Cruz,0 
22-06-2020,Santa Fe,5 
22-06-2020,Santiago del Estero,0 
22-06-2020,Tierra del Fuego,0 
22-06-2020,Tucuman,1 
21-06-2020,Buenos Aires,746 
21-06-2020,CABA,707 
21-06-2020,Catamarca,0 
21-06-2020,Chaco,52 
21-06-2020,Chubut,6 
21-06-2020,Cordoba,13 
21-06-2020,Corrientes,0 
21-06-2020,Entre Rios,10 
21-06-2020,Formosa,0 
21-06-2020,Jujuy,0 
21-06-2020,La Pampa,0 
21-06-2020,La Rioja,0 
21-06-2020,Mendoza,5 
21-06-2020,Misiones,0 
21-06-2020,Neuquen,9 
21-06-2020,Rio Negro,16 
21-06-2020,Salta,0 
21-06-2020,San Juan,0 
21-06-2020,San Luis,0 
21-06-2020,Santa Cruz,0 
21-06-2020,Santa Fe,17 
21-06-2020,Santiago del Estero,0 
21-06-2020,Tierra del Fuego,0 
21-06-2020,Tucuman,0 
20-06-2020,Buenos Aires,1013 
20-06-2020,CABA,512 
20-06-2020,Catamarca,0 
20-06-2020,Chaco,24 
20-06-2020,Chubut,3 
20-06-2020,Cordoba,20 
20-06-2020,Corrientes,2 
20-06-2020,Entre Rios,19 
20-06-2020,Formosa,2 
20-06-2020,Jujuy,0 
20-06-2020,La Pampa,0 
20-06-2020,La Rioja,0 
20-06-2020,Mendoza,5 
20-06-2020,Misiones,0 
